relay,slot,block_hash,builder_pubkey,value,gas_used,gas_limit,block_number
manifold,4891233,0x2e67978808cc4dea3d64960612ff5fda21b3fff373e6465a6d1bccf592742457,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,27963476676474064,10670878,30000000,15727148
manifold,4891193,0xf2bc7f09d01605dc21d9826361fbcc6baee4003262767c829f3ed75584459c92,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,50924466642912135,18789858,30000000,15727108
manifold,4891136,0x5f316d1039009447cbc7261f3500b0c3d9156dd6cbb88d63a5ea212f035a58f1,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,104444404612192367,29983698,30000000,15727051
manifold,4891134,0xad5fc7728a53196e7d5bb12d2c939a065689d04695116d16f92ea8759ea154f6,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,53392367202244842,14424443,30000000,15727049
manifold,4891104,0x0e25b9f9f06b599c93e999c9b40734e728298a7cf970b0bd0a8fafab9d33c944,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,79308558892292989,18756080,30000000,15727019
manifold,4891071,0x7b5c251d632ddc495962534095def7906faad6a8e8def16fddfd5716a4c9f611,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,54825819097067578,16600211,30000000,15726986
manifold,4891038,0x2b17382e5aba7401f250fcd5b2fdd0159ee3a6c20936289cfae0e0c1640ea180,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,114489257233185306,25959916,30000000,15726953
manifold,4891028,0x23e2a6d15920a0c0452e21fc5532f9f67b27f74749023f38ba3aa73390a25be8,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,29860874192184920,11759403,30000000,15726943
manifold,4890878,0xc82cc2779f7822163fa7e3217bfdb0ab2230679d362b905618dc824e8cdd6767,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,39377618013305416,18213167,30000000,15726794
manifold,4890860,0x5f570a404fd1a6b3f4cc2557540f4252875f8c1f87a7894e65d436a1f9e89d56,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,129070437060562558,29981776,30000000,15726776
manifold,4890819,0x930142c9b640df0a130cc592430691fc2dd30fbb9ccb71f6bb917c4a7e16a368,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,160735759126453550,16267258,30000000,15726735
manifold,4890695,0x6603d625eaf26b9f4804758c2e404b6f773890c1d74dba2a4dda2bc2ed50f473,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,32888109481157673,10759327,30000000,15726613
manifold,4890524,0x29b851028810fe8e9a97b10fb9229201365538035ecb7dd3f0b79ad48955555d,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,33588090014162044,13680464,30000000,15726444
manifold,4890473,0xc97d84ca27bfe03a495d7670e4d3c2e9de449f845d663c6cce3202a0708a2f31,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,31851396660864779,14296368,30000000,15726393
manifold,4890336,0x4d057b6393dfe22d412009322128a380e840b95e73c2d01939e1472564169f12,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,91454182777554647,28778163,30000000,15726256
manifold,4890313,0xbe40e4503b59d041f58cbd019159528d75169870f545eb676407aaaa726c9687,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,49290832174798128,18714568,30000000,15726233
manifold,4890304,0x2cbd4ebcc36eb9746b6e4e070c835555e5f3c7944e19534c7330961e9f135a3a,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,202683423359903603,29983105,30000000,15726224
manifold,4890255,0x483ef47ec10c68ec0b1fe014ab1e90166e8440e692ff20f9bb99e990e2426b27,0x8eb772d96a747ba63af7acdf92dc775a859f76a77e4c6ed124dca6360e74e4e798a75a925eb8fd0dde866317fff18ad0,50840479767958931,22905945,30000000,15726177
manifold,4890236,0xf0384de186deba28b05835beb3d6543fec0a9e32cf11c446a0f5f54c37bd07a9,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,70553641633091506,19772087,30000000,15726158
manifold,4890148,0x91b3d9869ae67159cd206da495ca79c132fae45250af1acab5b4aad15d42905e,0x8eb772d96a747ba63af7acdf92dc775a859f76a77e4c6ed124dca6360e74e4e798a75a925eb8fd0dde866317fff18ad0,26587587648794247,9901815,30000000,15726070
manifold,4890082,0x74e798aa06b0aaf112c303f7a91c52b5a4e5ca332d20fc56762cf37087e2d80e,0xa25f5d5bd4f1956971bbd6e5a19e59c9b1422ca253587bbbb644645bd2067cc08fb854a231061f8c91f110254664e943,38476239412604125,18052618,30000000,15726005
